Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
04/01,6.37360541245973,2.58327079001373,5.08072861018303,2.94676896469421
04/02,4.3072502033785,2.58327079001373,3.84570289645738,2.94676896469421
04/03,4.9704411632137,2.58327079001373,4.24179171391255,2.94676896469421
04/06,4.9704411632137,2.58327079001373,4.24179171391255,2.94676896469421
04/07,5.57075892720911,2.58327079001373,4.59969057774168,2.94676896469421
04/08,5.50984026109032,2.58327079001373,4.56343212933181,2.94676896469421
04/09,4.71815290018012,2.58327079001373,4.3975263574012,3.26389704472707
04/10,4.91741650147977,2.55563443333546,4.37761176133682,3.21601709189854
04/13,4.92030422731038,2.55563443333546,4.37921827500614,3.21601709189854
04/14,5.21622061442975,2.55563443333546,4.54376356175743,3.21601709189854
04/15,4.94180709345042,2.55563443333546,4.39118037677353,3.21601709189854
04/16,4.97745956936011,2.55563443333546,4.41101209048438,3.21601709189854
04/17,5.283181143773,2.55563443333546,4.5809751409275,3.21601709189854
