Label,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
04/01,6.37360541245973,2.58327079001373,5.08072861018303,2.94676896469421
04/02,4.3072502033785,2.58327079001373,3.84570289645738,2.94676896469421
04/03,4.9704411632137,2.58327079001373,4.24179171391255,2.94676896469421
04/06,4.9704411632137,2.58327079001373,4.24179171391255,2.94676896469421
04/07,5.57075892720911,2.58327079001373,4.59969057774168,2.94676896469421
04/08,5.50984026109032,2.58327079001373,4.56343212933181,2.94676896469421
04/09,4.71815290018012,2.58327079001373,4.3975263574012,3.26389704472707
04/10,4.91741650147977,2.55563443333546,4.37761176133682,3.21601709189854
04/13,4.92030422731038,2.55563443333546,4.37921827500614,3.21601709189854
04/14,5.21622061442975,2.55563443333546,4.54376356175743,3.21601709189854
04/15,4.94180709345042,2.55563443333546,4.39118037677353,3.21601709189854
04/16,4.97745956936011,2.55563443333546,4.41101209048438,3.21601709189854
04/17,5.283181143773,2.55563443333546,4.5809751409275,3.21601709189854
04/20,4.70906780722211,2.55563443333546,4.26166211267802,3.21601709189854
04/21,5.0668831411369,2.55563443333546,4.4607438447043,3.21601709189854
04/22,5.19831372432307,2.55563443333546,4.53374228159513,3.21601709189854
04/23,5.42397531127827,2.55563443333546,4.65913374076805,3.21601709189854
04/24,5.62370503841971,2.55563443333546,4.77003907419764,3.21601709189854
04/27,5.62665022931428,2.55563443333546,4.77167393267899,3.21601709189854
04/28,5.80396462005672,2.55563443333546,4.87007134802662,3.21601709189854
04/29,6.0050899248874,2.55563443333546,4.98162102987523,3.21601709189854
04/30,6.42739395535008,2.55563443333546,5.55438001288218,3.45941331023252
05/01,6.12569788666844,2.55563443333546,5.37989767079028,3.45941331023252
05/04,5.60127001902651,2.55563443333546,5.07780844565953,3.45941331023252
05/05,5.60127001902651,2.55563443333546,5.07780844565953,3.45941331023252
05/06,5.99090250638168,2.55563443333546,5.30353467624414,3.45941331023252
05/07,5.7807419030639,2.55563443333546,5.18189349644826,3.45941331023252
05/08,5.7767742580908,2.55563443333546,5.17959629160203,3.45941331023252
05/11,5.82970586545153,2.55563443333546,5.21024064889539,3.45941331023252
05/12,6.81163884927298,3.27807648015206,5.72473514166465,3.60126934955065
05/13,6.95748881394116,3.27807648015206,5.81038331752688,3.60126934955065
05/14,6.88750145677581,3.27807648015206,5.76930128613229,3.60126934955065
05/15,6.88809132025023,3.27807648015206,5.76964756566063,3.60126934955065
05/18,6.99004516572412,3.27807648015206,5.82949084694402,3.60126934955065
